StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,competence,ab_1,ab_c_1,su_1,su_c_1,va_1,va_c_1,gm_1,gm_c_1,sa_1,sa_c_1,br_1,br_c_1,pb_1,pb_c_1,Q30,gender,age,politics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a scholar (PhD student, postdoc, professor) affiliated with an academic institution and conducting research in areas related to bioethics broadly construed?",Which of the following areas are covered by your areas of competence (in the sense of you being able to teach them at the undergraduate level)?,At what stage of human pregnancy is the fetus capable of experiencing pain?,Please indicate how confident you are in the answer you provided above.,Surrogate mothers enter an agreement to bear a child for someone else in exchange for payment.      How likely is it that surrogate mothers are being exploited?,Please indicate how confident you are in the answer you provided above.,How frequent and severe are the side-effects caused by modern vaccines?,Please indicate how confident you are in the answer you provided above.,Are genetically modified crops fit or unfit for human consumption?,Please indicate how confident you are in the answer you provided above.,Individuals with physical disabilities can find it difficult to meet their sexual needs.   Could paid sexual assistance help meet the needs of disabled individuals?,Please indicate how confident you are in the answer you provided above.,Is animal testing necessary to guarantee the safety of biomedical developments?,Please indicate how confident you are in the answer you provided above.,"Sometimes, a teenager wishes to undergo irreversible surgery to modify their body. At what age is the average teenager mature enough to decide whether to undergo such procedures?",Please indicate how confident you are in the answer you provided above.,"Is there anything you would like to tell us? If so, use the space provided immediately below.",What is your gender?,How old are you? (Please type in your age in years - just a number),How would you describe your political attitudes when it comes to social issues?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}"
2021-07-12 14:53:57,2021-07-12 14:56:59,0,83.28.233.215,100,182,1,2021-07-12 14:56:59,R_yln3OFJCmPel2Fz,,,,,50.0565032958984375,19.98150634765625,anonymous,EN,4,"1,4,6,7",28,70,96,94,33,100,100,93,70,34,100,100,100,70,,1,49,2
2021-07-12 15:42:23,2021-07-12 15:45:26,0,195.235.104.226,100,182,1,2021-07-12 15:45:26,R_1LhhDFcHIYuzDVy,,,,,36.7689056396484375,-2.61529541015625,anonymous,EN,4,6,32,31,67,68,0,86,85,67,60,37,14,69,60,86,,1,38,2
2021-07-12 17:09:31,2021-07-12 17:15:17,0,76.211.115.84,100,345,1,2021-07-12 17:15:18,R_2Sk2jE1A7AGnWu0,,,,,35.7633056640625,-78.70999908447265625,anonymous,EN,4,"1,3,7",72,73,63,0,26,65,100,100,74,35,24,69,63,10,,1,67,1
2021-07-12 18:03:41,2021-07-12 18:05:48,0,24.246.3.204,100,126,1,2021-07-12 18:05:48,R_1FJStAvNx4lrdqs,,,,,45.3972930908203125,-75.68830108642578125,anonymous,EN,4,"4,6",20,0,39,86,25,100,92,82,100,100,41,58,100,96,,1,54,2
2021-07-13 07:39:21,2021-07-13 07:46:50,0,2.138.46.122,100,449,1,2021-07-13 07:46:51,R_vZHYDc70oGHT2I9,,,,,37.191802978515625,-3.6094970703125,anonymous,EN,4,"1,2,3,4,5,6,7",69,68,69,30,1,68,68,69,67,68,33,33,98,67,,1,58,2
2021-07-13 10:02:55,2021-07-13 10:06:29,0,86.135.50.88,100,213,1,2021-07-13 10:06:29,R_xh0TdwWYNb5inip,,,,,51.08880615234375,-3.2928009033203125,anonymous,EN,4,"1,4,6",22,57,91,92,67,68,31,35,17,71,63,65,69,70,,2,74,2
2021-07-13 10:57:28,2021-07-13 11:00:34,0,213.194.179.221,100,185,1,2021-07-13 11:00:34,R_2WUoHGcLLFY85dn,,,,,37.191802978515625,-3.6094970703125,anonymous,EN,4,"3,7",38,100,41,45,0,33,100,100,100,35,0,100,43,38,,2,43,2
2021-07-13 13:25:44,2021-07-13 13:33:11,0,95.127.150.227,100,447,1,2021-07-13 13:33:12,R_eF0DpwG2M4dPV7z,,,,,40.4163055419921875,-3.6934051513671875,anonymous,EN,4,"1,2,4,5,6",32,86,68,31,19,68,68,67,51,32,51,32,71,70,Looking forward to knowing the results of your research! :-),2,44,1
2021-07-13 15:04:03,2021-07-13 15:07:23,0,115.164.44.19,100,200,1,2021-07-13 15:07:24,R_2AEHOlms3qbTi2w,,,,,3.1670989990234375,101.670806884765625,anonymous,EN,4,"2,3",34,0,70,61,29,74,67,69,70,64,71,73,100,100,,1,35,4
2021-07-13 21:34:45,2021-07-13 21:37:51,0,88.26.168.8,100,186,1,2021-07-13 21:37:52,R_2tF4O7tbhqHKSvh,,,,,28.1177978515625,-16.5760955810546875,anonymous,EN,4,"1,3,4,7",62,34,100,100,59,69,71,29,1,100,72,30,80,31,,2,58,1
2021-07-14 11:25:24,2021-07-14 11:30:42,0,202.51.247.26,100,317,1,2021-07-14 11:30:43,R_12Sb9Pow3NcgoVR,,,,,1.309906005859375,103.763092041015625,anonymous,EN,4,"1,4,7",100,0,50,90,0,94,100,98,66,10,97,98,89,96,"Your question on fetal pain made me laugh out loud, it is my specialist subject. I put birth and completely unconfident, which is about right. Ten years ago I would have put birth and completely confident, how things change.",1,51,5
2021-07-14 11:33:16,2021-07-14 14:04:52,0,119.74.185.121,100,9095,1,2021-07-14 14:04:52,R_2y7OZP9fEMH82On,,,,,1.386505126953125,103.754913330078125,anonymous,EN,4,"1,2,3,4,5,6,7",100,86,24,85,12,38,77,78,94,85,79,59,86,86,,2,34,3
2021-07-14 21:21:49,2021-07-14 21:25:32,0,212.128.134.102,100,222,1,2021-07-14 21:25:33,R_24CVr8wxyL0wHCH,,,,,40.9700927734375,-5.6634063720703125,anonymous,EN,4,4,69,69,93,95,87,95,69,71,32,79,97,100,78,79,,2,70,2
2021-07-14 23:36:48,2021-07-14 23:47:58,0,79.159.35.163,100,670,1,2021-07-14 23:47:59,R_11awDKFfxEdzif2,,,,,37.2113037109375,-3.6338043212890625,anonymous,EN,4,"1,4,6",100,85,68,53,32,86,78,77,78,67,99,91,73,98,"La pregunta acerca de reacciones frecuentes y graves de nuevas vacunas creo que está mal planteada al incluir en la misma pregunta dos elementos diferentes. Las reacciones vacunales pueden ser infrecuentes pero muy graves, este matiz no es discriminado a través de la pregunta.",1,61,2
2021-07-15 05:20:59,2021-07-15 05:29:37,0,185.196.255.237,100,517,1,2021-07-15 05:29:37,R_3ivPtLvnMNCYjOJ,,,,,36.9490966796875,-3.553802490234375,anonymous,EN,4,"1,2,3,4,5,6,7",22,93,78,73,61,85,100,100,100,100,68,54,62,81,"great questionnaire! ",1,42,2
2021-07-15 09:18:15,2021-07-15 09:26:18,0,79.154.3.32,100,483,1,2021-07-15 09:26:19,R_WrFoEJPwoibUmPf,,,,,43.36749267578125,-8.3968963623046875,anonymous,EN,4,"1,4,5,6,7",28,71,33,73,33,72,71,71,96,96,71,72,74,78,"It was not easy to answer some questions, since I had to choose between a narrow scope, i.e., European Western society where I live, and a broad one, i.e., worldwide or including developlng countries. Therefore, it is not easy to avoid bias and inaccurate answers.",1,53,2
2021-07-15 10:16:48,2021-07-15 10:21:58,0,88.9.139.205,100,309,1,2021-07-15 10:21:58,R_2rot90a0P8oeX4k,,,,,41.465606689453125,2.07940673828125,anonymous,EN,4,"1,2,3,4,5,6,7",87,88,67,82,7,90,69,68,100,100,71,70,61,78,,1,53,3
2021-07-15 22:10:53,2021-07-15 22:20:53,0,47.61.123.42,100,599,1,2021-07-15 22:20:53,R_1jEeaHKhPBGfkrS,,,,,37.191802978515625,-3.6094970703125,anonymous,EN,4,6,100,71,95,100,0,100,97,100,33,82,85,86,61,98,,1,43,1
2021-07-18 14:15:19,2021-07-18 14:19:53,0,85.23.5.36,100,274,1,2021-07-18 14:19:54,R_VRrXGAlHYTK07bH,,,,,60.455902099609375,22.277099609375,anonymous,EN,4,3,39,78,95,99,5,100,96,96,63,40,12,91,26,91,,2,50,2
2021-07-18 14:37:07,2021-07-18 14:41:14,0,5.28.133.136,100,246,1,2021-07-18 14:41:14,R_dcBEisoICoJuICJ,,,,,32.0821075439453125,34.81219482421875,anonymous,EN,4,"1,5,6",29,66,82,100,32,100,68,100,0,100,66,100,71,100,,1,44,4
2021-07-19 08:36:59,2021-07-19 08:44:48,0,212.128.106.39,100,468,1,2021-07-19 08:44:48,R_31i591gQ9xtygOo,,,,,40.417205810546875,-3.6840057373046875,anonymous,EN,4,"3,5",31,69,99,99,1,99,34,31,67,68,100,100,99,99,,1,62,4
2021-07-14 23:06:38,2021-07-14 23:08:33,0,79.159.35.163,4,115,0,2021-07-21 23:08:34,R_3DkolHtaKGufV8i,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2021-07-28 20:41:41,2021-07-28 20:46:51,0,5.81.193.129,100,310,1,2021-07-28 20:46:52,R_3Rt5zbFTy1H44vV,,,,,54.0478973388671875,-2.797698974609375,anonymous,EN,4,"1,4,6",14,65,53,100,33,78,100,94,77,58,31,69,56,100,"In terms of the surrogacy question, it would 'it depends' on the context, jurisdiction etc. The ability to feel pain, for the fetus, is different from the ability to experience it, ie reflect on it",2,50,1
2021-07-29 02:48:06,2021-07-29 02:54:25,0,121.221.139.106,100,378,1,2021-07-29 02:54:25,R_2pSJ3iuijDVbmGr,,,,,-37.8589019775390625,145.14990234375,anonymous,EN,4,"1,2,3,4,5,6,7",69,65,68,64,0,0,93,84,100,86,69,85,5,67,"There are problems with your questions: 1. Surrogates -- are we talking about international surrogacy using surrogates from low income countries, or, say, surrogacy in the US in states where it is legal? 2 Animal testing -- for some products/uses, we do have reliable non-animal tests, but for others, we don't. How does one answer? 3. Vaccination - you are grouping rare and mild.  But the major problems are rare but severe -- eg blood clotting with AstraZeneca.  How does one answer?",1,75,1
2021-07-29 05:08:58,2021-07-29 05:25:23,0,151.19.52.63,100,984,1,2021-07-29 05:25:24,R_QnbyYLMxeRmuFoJ,,,,,43.1479034423828125,12.1096954345703125,anonymous,EN,4,"4,6",36,37,100,100,27,32,30,35,33,37,100,65,100,100,,2,57,4
2021-07-29 07:01:12,2021-07-29 07:03:44,0,61.68.217.163,100,152,1,2021-07-29 07:03:45,R_2Ya0FB63BKvEM3y,,,,,-37.8108978271484375,144.95440673828125,anonymous,EN,4,"1,2,3,4,5,7",70,9,74,70,3,100,33,62,95,100,74,75,74,32,,1,53,1
2021-07-29 10:39:57,2021-07-29 10:42:42,0,82.6.186.95,100,165,1,2021-07-29 10:42:42,R_2frmckzQOuDyGti,,,,,51.737701416015625,-1.2053985595703125,anonymous,EN,4,"1,4,6,7",36,30,74,63,18,98,100,100,81,82,61,63,72,73,,1,33,3
2021-07-29 13:27:39,2021-07-29 13:31:33,0,37.2.103.215,100,234,1,2021-07-29 13:31:34,R_W1HvtAPGEQETMXv,,,,,59.327392578125,18.0653076171875,anonymous,EN,4,"1,3,4,5,7",70,71,69,70,32,50,100,69,100,67,100,73,81,68,,1,74,1
2021-07-31 15:47:08,2021-07-31 15:50:27,0,87.49.45.235,100,198,1,2021-07-31 15:50:27,R_1dMELwPaPaOEZGm,,,,,55.6768951416015625,12.52679443359375,anonymous,EN,4,"1,2,4,6,7",45,86,50,50,0,100,86,100,70,69,100,100,81,73,,1,58,3
2021-08-02 17:28:20,2021-08-02 17:34:25,0,51.171.138.5,100,364,1,2021-08-02 17:34:26,R_0xpFr5z4ZldcnFn,,,,,53.9423065185546875,-8.09039306640625,anonymous,EN,4,"1,4,5,6",69,70,66,45,32,95,67,69,68,29,68,34,80,69,,1,45,2
2021-08-04 10:43:22,2021-08-04 11:04:43,0,62.82.80.99,100,1280,1,2021-08-04 11:04:44,R_SSGPRUNwb6H6F1f,,,,,37.2113037109375,-3.6338043212890625,anonymous,EN,4,6,70,69,94,96,3,96,85,72,68,70,85,75,59,35,,2,50,1
2021-07-28 19:19:35,2021-07-28 19:20:43,0,76.69.120.75,38,68,0,2021-08-04 19:20:45,R_2pW9eDLSwGZfd7s,,,,,,,anonymous,EN,4,"1,2,4,5,6,7",,,,,,,52,53,100,100,,,,,,,,
2021-07-28 19:19:29,2021-07-28 19:20:53,0,73.166.146.97,21,83,0,2021-08-04 19:20:56,R_2wshx3HieWchamd,,,,,,,anonymous,EN,4,"1,2,3,4,5,6,7",,,,,,,,,,,,,,,,,,
2021-08-05 17:33:22,2021-08-05 17:35:44,0,73.132.160.114,100,142,1,2021-08-05 17:35:45,R_YVPSRSlxmAiHMPf,,,,,38.9391937255859375,-77.05840301513671875,anonymous,EN,4,,68,31,51,51,32,99,98,100,96,98,68,69,73,35,,1,69,1
2021-08-17 17:32:49,2021-08-17 17:39:46,0,81.243.205.96,100,417,1,2021-08-17 17:39:47,R_AC0ay16jhD62nVn,,,,,51.2191925048828125,4.391693115234375,anonymous,EN,4,4,13,81,50,0,19,100,50,0,68,36,81,22,75,82,,1,45,2
